Reason for selection,id,Name
better recommendation candidates,enhancer.openrdmeu,openRDM EU
all recommended services were related,prace.training_portal,PRACE Training Portal
0 related recommendated services,embl-ebi.identifiersorg,Identifiers.org
better recommendation candidates,jelastic.platform-as-a-service,Jelastic Platform-as-a-Service
all recommended services were related,geant.lambda,GÉANT Lambda
all recommended services were related,seadatanet.european_directory_of_the_initial_ocean-observing_systems_edios,SeaDataNet European Directory of the Initial Ocean-Observing Systems (EDIOS)
all recommended services were related,egi-fed.cloud_compute,EGI Cloud Compute
better recommendation candidates,iisas.modelling_service_for_water_supply_systems,Modelling Service for Water Supply Systems
better recommendation candidates,readcoop.transkribus,Transkribus
better recommendation candidates,athena.verbal_aggression_analyser_va_analyser,Verbal Aggression Analyser (VA Analyser)
all recommended services were related,seadatanet.european_directory_of_marine_environmental_data_edmed,SeaDataNet European Directory of Marine Environmental Data (EDMED)
better recommendation candidates,d4science.alien_and_invasive_species_vre,Alien and Invasive Species Virtual Research Environment
all recommended services were related,seadatanet.doi_minting_service,SeaDataNet DOI minting service
all recommended services were related,eudat.b2access,B2ACCESS
better recommendation candidates,openbiomaps.openbiomaps,OpenBioMaps
0 related recommendated services,vamdc.query_store,VAMDC Query Store
better recommendation candidates,fssda.kuha2_metadata_server,Kuha2 metadata server
0 related recommendated services,europeana.europeana_apis,Europeana APIs
better recommendation candidates,prace.patc,PRACE Advanced Training Centres
0 related recommendated services,bsc-es.openebench,OpenEBench
better recommendation candidates,cnr-iia.geo_dab,GEO Discovery and Access Broker
better recommendation candidates,sinergise.sentinel_hub,Sentinel Hub
better recommendation candidates,inode.open_data_dialog,INODE Open Data Dialog
better recommendation candidates,clarin-eric.language_resource_switchboard,Language Resource Switchboard
all recommended services were related,csc-fi.rahti_container_cloud,Rahti Container Cloud
better recommendation candidates,fssda.data_service_portal_aila,Data Service Portal Aila
better recommendation candidates,gbif-es.e-Learning_platform,E-Learning Platform of GBIF Spain
0 related recommendated services,desy.pan_gitlab,PAN gitlab
better recommendation candidates,ifca-csic.plant_classification,Plant Classification
better recommendation candidates,prace.seasonal_schools_and_international_summer_school,PRACE Seasonal Schools and International Summer School
0 related recommendated services,dariah_eric.dariah-campus,DARIAH-Campus
better recommendation candidates,expertai.document_enrichment_api,Enrichment API
better recommendation candidates,csc-fi.csc_epouta,ePouta Virtual Private Cloud
all recommended services were related,geant.ip,GÉANT IP
all recommended services were related,exoscale.european_cloud_hosting,European Cloud Hosting
better recommendation candidates,d4science.rprototypinglab_virtual_research_environment,RPrototypingLab Virtual Research Environment
0 related recommendated services,cyberbotics.robotbenchmark,robotbenchmark
better recommendation candidates,plantnet.plntnet_identification_service,Pl@ntNet Identification Service
better recommendation candidates,oslo_university.services_for_sensitive_data_tsd,Services for Sensitive Data (TSD)
better recommendation candidates,ess_eric.european_social_survey_ess_as_a_service,European Social Survey (ESS) as a service
manually selected,osmooc.open_science_mooc,Open Science MOOC
manually selected,komanord.guardomic,Guardomic
manually selected,astron.,LOFAR Science Processing
manually selected,forschungsdaten.forschungsdateninfo,forschungsdaten.info
manually selected,gcc_umcg.molgenis,MOLGENIS
manually selected,creatis.virtual_imaging_platform,Virtual Imaging Platform
manually selected,sobigdata.tagme,TagMe
manually selected,cloudferro.data_related_services_-_eo_finder,Cloudferro Data related Services - EO Finder
manually selected,collabwith.collabwith_marketplace,COLLABWITH MARKETPLACE
manually selected,kit.eosc-performance,EOSC-Performance
